Id,Action
1,1
2,1
3,0
4,1
5,1
6,0
7,1
8,1
9,0.805403081086746
10,1
11,0
12,1
13,0
14,1
15,1
16,1
17,0
18,0
19,1
20,1
21,0.877644091928673
22,1
23,0
24,0
25,0
26,0
27,1
28,0
29,1
30,1
31,1
32,0
33,0
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,0
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,0
61,1
62,0
63,1
64,1
65,1
66,1
67,0
68,1
69,0
70,1
71,1
72,0
73,1
74,1
75,1
76,0
77,1
78,0
79,1
80,1
81,0
82,0.890895846752666
83,1
84,1
85,1
86,1
87,1
88,0
89,1
90,1
91,0
92,1
93,1
94,0
95,1
96,0
97,0
98,1
99,1
100,1
101,0
102,0
103,0
104,1
105,0
106,1
107,1
108,0
109,1
110,1
111,0.890895846752666
112,1
113,0
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,1
125,1
126,1
127,0
128,0
129,0
130,1
131,1
132,1
133,0
134,0
135,1
136,0
137,1
138,1
139,0
140,0
141,1
142,1
143,1
144,1
145,1
146,0
147,0
148,1
149,1
150,1
151,1
152,0
153,1
154,0
155,1
156,1
157,1
158,0
159,1
160,0
161,0
162,1
163,0.805403081086746
164,0
165,1
166,1
167,0
168,0
169,1
170,1
171,1
172,1
173,0.831229460468465
174,1
175,0
176,1
177,1
178,1
179,0
180,0
181,1
182,1
183,1
184,1
185,0
186,1
187,0
188,1
189,1
190,1
191,1
192,0
193,1
194,0
195,1
196,1
197,0
198,1
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,1
207,1
208,0
209,1
210,1
211,0
212,0
213,0
214,1
215,0
216,1
217,1
218,1
219,1
220,1
221,0
222,0
223,0
224,1
225,1
226,0
227,1
228,1
229,0
230,1
231,1
232,0.852795993761654
233,1
234,1
235,1
236,1
237,1
238,1
239,0
240,1
241,1
242,1
243,0
244,0
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,0
253,0.893655049151028
254,1
255,1
256,1
257,1
258,1
259,0.892603414481306
260,1
261,1
262,1
263,0
264,1
265,1
266,0
267,1
268,0
269,1
270,1
271,1
272,0
273,1
274,1
275,1
276,0
277,1
278,0.807754442649435
279,1
280,0
281,1
282,1
283,0
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,0
293,1
294,1
295,1
296,0
297,0
298,1
299,0
300,1
301,0
302,1
303,0
304,0
305,0
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,0.890895846752666
314,0
315,0
316,1
317,1
318,1
319,0.890895846752666
320,1
321,1
322,0
323,1
324,1
325,1
326,0.807754442649435
327,1
328,1
329,0
330,1
331,0
332,1
333,0.831229460468465
334,1
335,0.831229460468465
336,1
337,0.848536274925753
338,1
339,1
340,0
341,1
342,1
343,0
344,1
345,1
346,0
347,1
348,1
349,1
350,1
351,1
352,1
353,0.831229460468465
354,1
355,0
356,1
357,0
358,0
359,1
360,1
361,0
362,1
363,1
364,0
365,0
366,1
367,1
368,1
369,0
370,1
371,0
372,0
373,0
374,0
375,1
376,0
377,0
378,0
379,1
380,0
381,0
382,1
383,1
384,1
385,0
386,0
387,1
388,0
389,0
390,0
391,1
392,0
393,1
394,1
395,0
396,1
397,1
398,1
399,1
400,0
401,1
402,1
403,1
404,1
405,1
406,0
407,1
408,0
409,0
410,1
411,1
412,0
413,1
414,1
415,1
416,0
417,1
418,0
419,1
420,1
421,0
422,0
423,0
424,0.873743993010048
425,0
426,1
427,1
428,1
429,1
430,0
431,1
432,0
433,0
434,0.890895846752666
435,1
436,1
437,1
438,1
439,0.894524792649153
440,0
441,0
442,1
443,0.896800187212654
444,0
445,0
446,1
447,0.862363717369802
448,1
449,1
450,0
451,0
452,1
453,1
454,1
455,1
456,1
457,0
458,0
459,1
460,0
461,1
462,0
463,0
464,1
465,1
466,1
467,0
468,1
469,1
470,0
471,1
472,1
473,0
474,1
475,1
476,1
477,1
478,1
479,0
480,0
481,0
482,0
483,1
484,1
485,1
486,0
487,0
488,1
489,1
490,0
491,1
492,1
493,0.817699693946686
494,0
495,1
496,1
497,1
498,1
499,0
500,0
501,1
502,0
503,1
504,1
505,1
506,1
507,0
508,1
509,0
510,1
511,1
512,1
513,1
514,0
515,1
516,1
517,1
518,1
519,1
520,1
521,0.841534426581627
522,0
523,0
524,1
525,0
526,1
527,0
528,0
529,0
530,1
531,1
532,0
533,0
534,1
535,1
536,1
537,1
538,0
539,1
540,1
541,1
542,0
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,0
553,0.899708237471563
554,1
555,1
556,0
557,0
558,1
559,0
560,1
561,0
562,1
563,1
564,0
